cpu,num_downloads,python_version,pip_version,glibc_version,pip-major,pip-minor,glibc_major,glibc_minor,manylinux_2_27,manylinux_2_24,manylinux2014,manylinux2010,manylinux1,policy
x86_64,301308311,3.8,19.3,2.27,19,3,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,274993841,3.7,20.1,2.24,20,1,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,214093540,3.7,20.0,2.27,20,0,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,165425873,3.7,19.0,2.23,19,0,2,23,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,89864794,3.8,20.2,2.26,20,2,2,26,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,87273602,3.6,21.0,2.27,21,0,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,79778936,3.8,20.1,2.28,20,1,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,75248772,3.7,21.0,2.28,21,0,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,71814089,3.7,9.0,2.26,9,0,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,65863380,3.7,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,62237329,3.7,21.0,2.27,21,0,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,62037510,2.7,9.0,2.17,9,0,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,59893001,3.6,9.0,2.17,9,0,2,17,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,54404580,3.8,21.0,2.28,21,0,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,45540515,3.6,21.0,2.17,21,0,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,42234730,3.8,21.0,2.27,21,0,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,41790488,3.7,21.0,2.26,21,0,2,26,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
x86_64,38586343,2.7,9.0,2.27,9,0,2,27,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,37803558,2.6,6.1,2.2,6,1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,none
x86_64,35533258,3.6,21.0,2.28,21,0,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,33916705,3.6,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,33103149,3.6,9.0,2.27,9,0,2,27,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,29389694,3.7,20.1,2.23,20,1,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,28367113,3.6,19.3,2.27,19,3,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,27168809,3.8,21.0,2.31,21,0,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,25733082,3.8,20.0,2.31,20,0,2,31,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,22926384,3.9,21.0,2.28,21,0,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,22798829,2.7,20.3,2.27,20,3,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,22223061,3.7,20.1,2.28,20,1,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,21973054,3.8,20.2,2.28,20,2,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,19316224,3.6,20.1,2.28,20,1,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,18551473,2.7,20.3,2.23,20,3,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,17890696,3.7,21.0,2.23,21,0,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,17265697,3.6,21.0,2.12,21,0,2,12,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,16413748,3.8,20.2,2.27,20,2,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,14987927,2.7,19.3,2.23,19,3,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,14723156,3.6,20.2,2.27,20,2,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,14546257,3.7,20.3,2.28,20,3,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,14416544,3.6,20.1,2.27,20,1,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,13888201,3.5,20.1,2.24,20,1,2,24,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,13835624,3.6,20.2,2.23,20,2,2,23,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,13581236,3.6,20.3,2.27,20,3,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,13393863,3.8,9.0,2.26,9,0,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,13041795,3.7,21.0,2.24,21,0,2,24,FALSE,TRUE,FALSE,FALSE,FALSE,manylinux_2_24
x86_64,12560273,2.7,8.1,2.7,8,1,2,7,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,12308407,3.9,21.0,2.27,21,0,2,27,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,12289473,3.5,19.1,2.23,19,1,2,23,FALSE,FALSE,FALSE,TRUE,FALSE,manylinux2010
x86_64,12214597,3.7,21.0,2.31,21,0,2,31,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,11733520,3.7,20.1,2.27,20,1,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,11711140,3.7,20.2,2.27,20,2,2,27,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,11692699,3.8,20.3,2.28,20,3,2,28,TRUE,FALSE,FALSE,FALSE,FALSE,manylinux_2_27
x86_64,11250551,3.7,20.0,2.28,20,0,2,28,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
x86_64,11241786,2.7,9.0,2.26,9,0,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,manylinux1
x86_64,11059450,2.7,20.3,2.17,20,3,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,manylinux2014
